,link,first_name,last_name,nationality,year
0,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=29971,David,Faber,American, born 1950
1,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=14182,Johann Joachim,Faber,German, 1778 - 1846
2,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=28714,Karl Gottfried Traugott,Faber,German, 1786 - 1863
3,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4047,John,Faber II,Dutch, c. 1684 - 1756
4,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=27180,Mary,Fabilli,American, born 1914
5,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4048,Ralph,Fabri,American, 1894 - 1975
6,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=1331,Gentile da,Fabriano,Italian, c. 1370 - 1427
7,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6892,Carel,Fabritius,Dutch, c. 1622 - 1654
8,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=34923,Dominique C.,Fabronius,American, born Belgium
9,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4049,Pietro,Faccini,Italian, probably c. 1562 - 1602
10,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=5645,John,Faed,Scottish, probably 1819 - 1902
11,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=9908,,Faentine 16th Century,,
12,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=1477,Pieter van der,Faes,British, 1618 - 1680
13,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=33404,James,Fagan,American, 1864 - 1910
14,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4053,Oyvind,Fahlstrom,American, 1928 - 1976
15,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7489,Samuel,Faigin,American, active c. 1935
16,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7490,George,Fairbanks,American, active c. 1935
17,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=2495,Semantha,Fairbanks,American, active c. 1843
18,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7491,Elizabeth,Fairchild,American, active c. 1935
19,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4054,Wilfred,Fairclough,British, born 1907
20,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6092,William,Fairland,British, active c. 1828
21,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,William,Faithorne,English, 1616 - 1691
22,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,William I,Faithorne,English, 1616 - 1691
23,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,William,Faithorne the Elder,English, 1616 - 1691
24,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6820,Biagio,Falcieri,Italian, 1628 - 1703
25,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=23452,Domenico,Falcini,Italian, born c. 1570
26,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4056,Jeremias,Falck,German, c. 1619 - 1677
27,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4057,Aniello,Falcone,Italian, 1607 - 1656
28,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=33405,John Mackie,Falconer,American, 1820 - 1903
29,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=2101,Etienne-Maurice,Falconet,French, 1716 - 1791
30,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=4058,Pierre-Etienne,Falconet,French, 1741 - 1791
31,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=6619,Angiolo,Falconetti,Italian, active c. 1555/1567
32,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=6619,Angelo,Falconetto,Italian, active c. 1555/1567
33,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=4059,Giovanni Battista,Falda,Italian, 1648 - 1678
34,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=4060,Giovanni Antonio,Faldoni,Italian, c. 1690 - c. 1770
35,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=2102,Giovanni,Faletro,Italian, active first half 16th century
36,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=4061,Anton,Falger,German, 1791 - 1850 or after
37,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=28434,Jean-Alexandre-Joseph,Falguière,French, 1831 - 1900
38,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=2102,Giovanni,Falier,Italian, active first half 16th century
39,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=4056,Jeremias,Falk,German, c. 1619 - 1677
40,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=33406,Claire,Falkenstein,American, 1908 - 1997
41,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=7492,Michael,Fallon,American, active c. 1935
42,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=27698,Constant Alexandre,Famin,French, 1827 - 1888
43,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=7493,Marie,Famularo,American, 1901 - 1975
44,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=30590,Cosimo,Fancelli,Italian, 1620 - 1688
45,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=6821,Pietro,Fancelli,Italian, 1764 - 1850
46,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=5967,Francesco,Fanelli,Italian, active 1608/1665
47,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=2224,Pietro da,Fano,Italian, active 1452/1464
48,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=1275,Henri,Fantin-Latour,French, 1836 - 1904
49,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=1275,Ignace-Henri-Jean-Theodore,Fantin-Latour,French, 1836 - 1904
50,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=4062,Antonio,Fantuzzi,Italian, c. 1510 - 1550 or after
51,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=4063,,Farfa,Italian, 1881 - 1964
52,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=11739,Fernando de la Torre,Farfán,Spanish, 1609 - 1677
53,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=7114,Louis,Farigoule,French, 1885 - 1972
54,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=13585,Orazio,Farinati,Italian, 1559 - after 1616
55,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=2496,Paolo,Farinati,Italian, 1524 - 1606
56,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=8249,Chester,Faris,American, active c. 1935
57,https://web.archive.org/web/20121010212559/http://www.nga.gov/cgi-bin/tsearch?artistid=1773,Joseph Anderson,Faris,American, 1833 - 1909
58,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=7494,Paul,Farkas,American, active c. 1935
59,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=25704,Ken,Farley,active late 20th century,
60,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=29930,Emma Justine,Farnsworth,American, active c. 1890 - 1900
61,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=34167,Robert Vale,Faro,American, 1902 - 1988
62,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=28136,Jean-Baptiste-Eugene,Farochon,French, 1812 - 1871
63,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=6862,George,Farquhar,British, 1678 - 1707
64,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=7495,Alfred,Farrell,American, active c. 1935
65,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=2497,Henry,Farrer,American, 1843 - 1903
66,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=2498,Thomas C.,Farrer,British, 1839 - 1891
67,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=7496,Dorothea A.,Farrington,American, active c. 1935
68,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=11608,Johann Rudolph,Fäsch,German, 1712 - 1749
69,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=27213,Heide,Fasnacht,American, born 1951
70,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=7497,Aaron,Fastovsky,American, active c. 1935
71,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=4065,,Fathwinter,German, 1906 - 1974
72,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=4111,Georges,Faucas,French, 1641 - 1708
73,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=4066,Carlo,Faucci,Italian, 1729 - c. 1784
74,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=14875,Louis,Faurer,American, 1916 - 2001
75,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=17367,Jean,Fautrier,French, 1898 - 1964
76,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=4068,Jacques de,Favanne,French, 1716 - 1770
77,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=7002,Charles-Simon,Favart,French, 1710 - 1792
78,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=7002,M.,Favart,French, 1710 - 1792
79,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=34669,Robert,Fawcett,American, 1903 - 1967
80,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=33409,Clark,Fay,American, 1894 - 1956
81,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=29849,Joseph,Fay,German, 1813 - 1875
82,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=6915,Lucas,Faydherbe,Flemish, 1617 - 1697
83,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=33410,Harold Knickerbocker,Faye,American, 1910 - 1980
84,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=33410,Harold Knickerbocker,Faye,American, 1910 - 1980
85,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=34168,Aries,Fayer,American, born 1891
86,https://web.archive.org/web/20121010212545/http://www.nga.gov/cgi-bin/tsearch?artistid=25283,A.,Fays,French, active 1850s
87,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=33411,William Kelly,Fearing,American, born 1918
88,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=17654,Bill,Featheringill,,
89,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=4069,Nikolai,Fechin,American, 1881 - 1955
90,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=4069,Nikolai Ivanovich,Fechin,American, 1881 - 1955
91,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=2103,Matteo della,Fede,Italian, active 1543/1562
92,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=2767,,Federigo Fiammingo,German, c. 1540 - 1599
93,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=2037,,Federigo Parmese,Italian, after 1507 - 1588
94,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=33412,Magda A.,Feher,American, born Hungary
95,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=1276,Paolo di Giovanni,Fei,Italian, mentioned 1369 - 1411
96,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=34924,Dorothy Dee Lubell,Feigin,American, 1904 - 1969
97,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=4071,Alfred,Feinberg,American, probably 1882 - 1970
98,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=1278,Lyonel,Feininger,American, 1871 - 1956
99,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=13556,T. Lux,Feininger,American, born Germany
100,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=34169,David,Feinstein,American,
101,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=1282,Lorser,Feitelson,American, 1898 - 1978
102,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=1289,Robert,Feke,American, c. 1707 - c. 1751
103,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=33413,Paul A.,Feldhaus,American, 1926 - 2005
104,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=4072,Eugene,Feldman,American, 1921 - 1975
105,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=33414,Walter,Feldman,American, born 1925
106,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=11499,André,Félibien,French, 1619 - 1695
107,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=11500,Jean-François,Félibien,French, 1658 - 1733
108,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=11501,Michel,Félibien,French, 1665 - 1719
109,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=4685,Conrad,Felixmüller,German, 1897 - 1977
110,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=24721,Arthur,Fellig,American, 1899 - 1968
111,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=14090,Sidney B.,Felsen,American, born 1924
112,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=33415,Francine,Felsenthal,American, 1922 - 2000
113,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=34775,Otto,Felsing,German,
114,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=13154,Wilhelm,Felsing,German,
115,https://web.archive.org/web/20121010212609/http://www.nga.gov/cgi-bin/tsearch?artistid=26640,June,Felter,American, active c. 1997
116,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=31160,Peter,Fendi,German, 1796 - 1842
117,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=34232,Stanford,Fenelle,American, 1909 - 1995
118,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=7003,Francois de Salignac de La Mothe-,Fenelon,French, 1651 - 1715
119,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=7499,Michael,Fenga,American, active c. 1935
120,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=33416,John Nathaniel,Fenton,American, 1912 - 1977
121,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=13369,Roger,Fenton,British, 1819 - 1869
122,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=21509,Martino,Ferabosco,Italian, active 1684
123,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=2105,Herbert,Ferber,American, 1906 - 1991
124,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=33417,Edward R.,Ferguson,American, 1914 - 2001
125,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=6557,William Gowe,Ferguson,British, 1632/1633 - c. 1690
126,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=7500,William,Fergusson,American, active c. 1935
127,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=33418,Nella,Fermi,American, 1931 - 1995
128,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=10497,Arman,Fernandez,American, 1928 - 2005
129,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=6580,José Antonio,Fernández-Muro,Argentinean, born 1920
130,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=4074,King of Portugal,Fernando II,Portuguese, 1816 - 1885
131,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=7501,Max,Fernekes,American, 1905 - 1984
132,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=1292,John,Ferneley,British, 1782 - 1860
133,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=7431,Mario De,Ferrante,American, active c. 1935
134,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=2071,Costanzo da,Ferrara,Italian, c. 1450 - died after 1524
135,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=8300,,Ferrarese 15th Century,,
136,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=8321,,Ferrarese 16th Century,,
137,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=16587,,Ferrarese 18th Century,,
138,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=16588,,Ferrarese 19th Century,,
139,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=34389,Ettore,Ferrari,Italian, 1848 - 1929
140,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=2499,Gregorio de,Ferrari,Italian, 1644 - 1726
141,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=4075,Leon,Ferrari,Argentinean, born 1920
142,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=9744,John,Ferren,American, 1905 - 1970
143,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=11646,Pietro,Ferrerio,Italian, 1600 - 1654
144,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=19596,Domenico,Ferretti,Italian, 1701 - 1774
145,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=19583,Ciro,Ferri,Italian, 1634 - 1689
146,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=10595,Ronoldo,Ferri,born 1932,
147,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=1295,Martin Edgar,Ferrill,American, 1836 or 1837 - 1897
148,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4076,Edythe,Ferris,American, born 1897
149,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=33419,Stephen James,Ferris,American, 1835 - 1915
150,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4266,,Ferro (pseud.),Icelandic, born 1932
151,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=5768,Francesco di Simone,Ferrucci,Italian, 1437 - 1493
152,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=23826,Claude-Mathieu,Fessard,French, active 1765 - 1805
153,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4077,Etienne,Fessard,French, 1714 - 1777
154,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=1298,Domenico,Feti,Italian, 1589 - 1623
155,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=1298,Domenico,Fetti,Italian, 1589 - 1623
156,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=27680,Rainer,Fetting,German, born 1949
157,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=30496,Tomas de,Feu,active late 16th century,
158,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=15004,Jean-Jacques,Feuchère,French, 1807 - 1852
159,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=22808,Georges de,Feure,French, 1868 - 1943
160,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4078,Francois-Nicolas Auguste,Feyen-Perrin,French, 1826 - 1888
161,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4079,Odoardo,Fialetti,Italian, 1573 - 1638
162,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=2107,Francesco Canno,Fiamingo,Flemish, 1597 - 1643
163,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=5888,il,Fiammenghino,Italian, 1575 - 1640
164,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=2722,il,Fiammenghino,Italian, c. 1561 - probably 1630
165,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=2107,il,Fiammingo,Flemish, 1597 - 1643
166,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=7502,Joseph,Ficcadenti,American, active c. 1935
167,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=6513,Robert,Fichter,American, born 1939
168,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4080,Étienne,Ficquet,French, 1719 - 1794
169,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=33420,Edward Loyal,Field,American, 1856 - 1914
170,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=1299,Erastus Salisbury,Field,American, 1805 - 1900
171,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=9834,Thales,Fielding,British, 1793 - 1837
172,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=5492,Ernest,Fiene,American, 1894 - 1965
173,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4082,Hanns,Fierst,German, active 1956
174,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=34233,Mary E.,Fife,American, 1904 - 1990
175,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=15474,Ambrogio,Figino,Italian, 1548 - 1608
176,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=15474,Giovan Ambrogio,Figino,Italian, 1548 - 1608
177,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=24004,Stanislaw,Fijalkowski,Polish, born 1922
178,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=4084,Phillip,Fike,American, active 1978
179,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=2050,Giovanni di Salvatore,Filangieri,Italian, before 1450 - c. 1499
180,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=2050,Giovanni,Filangieri Candida,Italian, before 1450 - c. 1499
181,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=5763,,Filarete,Italian, c. 1400 - 1469
182,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=7503,George,File,American, active c. 1935
183,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=989,Alessandro,Filipepi,Italian, 1446 - 1510
184,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=1489,Fra,Filippo,Italian, c. 1406 - 1469
185,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=5933,,Filippo d'Angeli,Italian, 1585/1591 - 1629
